dmr_make,dmr_model,alias_group,basis
HYUNDAI,I10,HYUNDAI_I10,"'I10' and 'i10 AC3' (AC3 being Hyundai's internal generation/chassis code, not a different model) both resolve to DVSA HYUNDAI/I10 (599,315 tests), identical DVSA fields on their one shared band (band 1). Distinct from the I10/I 10 space-only pair fix_case_duplicate_models.py's normalize_key already merges on its own. coverage_audit.md finding 1."
HYUNDAI,i10 AC3,HYUNDAI_I10,"See HYUNDAI/I10 row in this group -- same basis."
HYUNDAI,I30,HYUNDAI_I30,"DMR carries three spellings for the i30 hatchback/estate-badged-as-one-model in this dataset: bare 'I30', 'I30CW' (CW = 'CrossWagon/Wagon', Hyundai's own estate-variant suffix), and 'i30 Stc.' (Danish abbreviation of 'stationcar', estate). All three resolve to the identical DVSA HYUNDAI/I30 target with identical DVSA fields at every shared band -- unlike the FABIA/FABIA COMBI, PASSAT/PASSAT VARIANT etc. hatch-vs-estate pairs that are deliberately NOT merged elsewhere, here even DVSA-side collapses hatch and estate i30 into one pool, and DMR's own three-way split is exactly the kind of formatting/naming inconsistency this file exists to fix, not a genuine second vehicle. Flagged from coverage_audit.md finding 1; verified via the DVSA-field-equality check before inclusion."
HYUNDAI,I30CW,HYUNDAI_I30,"See HYUNDAI/I30 row in this group -- same basis."
HYUNDAI,i30 Stc.,HYUNDAI_I30,"See HYUNDAI/I30 row in this group -- same basis."
KIA,CEED,KIA_CEED,"'CEED', \"CEE'D SW\", and 'CEED SW' (SW = Kia's own estate-variant suffix) all resolve to the identical DVSA KIA/CEED target with identical DVSA fields at every shared band -- same reasoning as the Hyundai i30 group: DVSA itself does not split Ceed hatch from Ceed SW estate into separate pools, so treating DMR's spelling variants as one car matches what the reliability data actually measures. coverage_audit.md finding 1."
KIA,CEE'D SW,KIA_CEED,"See KIA/CEED row in this group -- same basis."
KIA,CEED SW,KIA_CEED,"See KIA/CEED row in this group -- same basis."
NISSAN,QASHQAI,NISSAN_QASHQAI,"'QASHQAI' and 'Qashqai J11A' (J11A being Nissan's internal chassis code for the second-generation Qashqai, not a different model) both resolve to DVSA NISSAN/QASHQAI (1,469,028 tests), identical DVSA fields at every shared band. coverage_audit.md finding 1."
NISSAN,Qashqai J11A,NISSAN_QASHQAI,"See NISSAN/QASHQAI row in this group -- same basis."
SEAT,IBIZA,SEAT_IBIZA,"'IBIZA' and 'Ibiza GP2' (GP2 being Seat's internal generation code for the facelifted fourth-generation Ibiza, not a different model) both resolve to DVSA SEAT/IBIZA (487,807 tests), identical DVSA fields at every shared band. coverage_audit.md finding 1."
SEAT,Ibiza GP2,SEAT_IBIZA,"See SEAT/IBIZA row in this group -- same basis."
SUZUKI,SX4,SUZUKI_SX4,"'SX4' and 'SX4 COMBIBACK' both resolve to the same DVSA SUZUKI/SX4 target with identical DVSA fields on their one shared band (band 4). JUDGEMENT CALL, flagged for the user to double-check: DMR's own variant_name samples for both spellings are engine/drivetrain-only ('1,6', '1,6 AT', '1,6 4WD', '2,0 DDIS 4WD' for COMBIBACK; '1,6 SEDAN', '1,6 5-DØRS' etc for bare SX4), not a DMR body-style suffix the way 'VARIANT'/'COMBI'/'STATIONCAR' are used elsewhere in this data, and no independent source consulted here confirms 'Combiback' denotes a genuinely different body style (an SX4 estate/wagon is not a body style Suzuki is known to have sold) rather than a trim/spec name. Included per this fix's explicit instruction to merge the audit's 15 confirmed groups; if that assumption turns out wrong, remove this group and let it fall through to model_spelling_review.csv instead."
SUZUKI,SX4 COMBIBACK,SUZUKI_SX4,"See SUZUKI/SX4 row in this group -- same basis, including the judgement-call flag."
